,0,1,2,3,4,5
2017-01-31,104.5300064086914,105.06459045410156,122.88887786865234,103.14016723632812,101.4965591430664,107.5433578491211
2017-02-28,105.90599822998047,123.45333862304688,109.19034576416016,99.97899627685547,114.90509033203125,106.07746887207031
2017-03-31,127.0155258178711,111.64447784423828,107.68632507324219,114.78336334228516,115.56761169433594,96.81348419189453
2017-04-30,111.03517150878906,106.84548950195312,119.65709686279297,111.47991180419922,101.78712463378906,108.9569320678711
2017-05-31,101.25439453125,113.27481079101562,111.18797302246094,93.98136901855469,109.01710510253906,99.81796264648438
2017-06-30,118.4347915649414,116.0003433227539,103.27135467529297,111.51636505126953,110.47066497802734,108.78333282470703
2017-07-31,112.41117858886719,100.03326416015625,113.87503814697266,104.5679702758789,110.98380279541016,112.54447174072266
2017-08-31,95.21151733398438,108.33948516845703,104.95173645019531,104.04424285888672,113.07137298583984,99.84475708007812
2017-09-30,112.00121307373047,108.29631042480469,113.3453369140625,115.02110290527344,109.34362030029297,104.56221771240234
2017-10-31,108.28694915771484,113.15750122070312,121.29727172851562,107.25155639648438,110.47612762451172,120.8594970703125
2017-11-30,110.01871490478516,117.5506591796875,109.93257904052734,105.7464599609375,124.48898315429688,101.84015655517578
2017-12-31,124.23316192626953,115.81478881835938,117.25796508789062,128.3872833251953,113.97923278808594,107.76242065429688
2018-01-31,111.99860382080078,113.34029388427734,131.0305633544922,107.82875061035156,110.19182586669922,113.209716796875
2018-02-28,116.57787322998047,134.31564331054688,116.54851531982422,110.82701110839844,123.79920196533203,113.65373992919922
2018-03-31,132.93296813964844,114.85576629638672,114.98937225341797,119.04840087890625,118.67709350585938,102.81138610839844
2018-04-30,113.09025573730469,113.3899917602539,123.24099731445312,114.02127075195312,106.76940155029297,113.43872833251953
2018-05-31,111.0674057006836,120.43428802490234,117.92862701416016,102.86656951904297,117.83808898925781,106.51643371582031
2018-06-30,120.02120208740234,117.08741760253906,107.46173858642578,114.7337417602539,111.89985656738281,113.84040069580078
2018-07-31,117.27430725097656,107.50343322753906,121.15218353271484,110.17797088623047,120.63053131103516,118.16050720214844
2018-08-31,103.63874053955078,116.37630462646484,111.74457550048828,114.22551727294922,120.2423095703125,108.63607025146484
2018-09-30,115.64642333984375,110.80854034423828,119.42131805419922,117.65959167480469,114.25552368164062,107.4868392944336
2018-10-31,110.85701751708984,119.0340576171875,123.96733093261719,112.32379150390625,113.83525085449219,124.29015350341797
2018-11-30,121.4552001953125,125.70511627197266,120.4060287475586,114.08809661865234,134.4928436279297,109.561279296875
